"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","287.804656396358","295.189206880903","284.264386702962","279.963139219579","266.721589080389","248.629004381432","238.511866545294","220.969997639053","203.652034855228","204.247519453508","200.622241637288","190.233562701783","186.502382430301","185.339693340474","179.612070772345","183.87721414121","179.302138541383","187.652375442389","177.815649700263","176.194632768895","181.624155330157","181.809132719981","178.484953550413","190.534369443759","196.20669305222","",
"Afghanistan","AFG","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.48","83.83","83.79","70.81","39.41","28.42","21.31","22.63","19.71","12.97","13.37","15.99","9.35","11.45","12.61","14.1","27.37","28.99","22.33","14.15","8.39","6.26","9.19","13.26","17.76","",
"Africa Western and Central","AFW","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","403.29593239057","398.942598103814","390.308220050039","388.348598899806","387.204337551042","385.349308711141","378.95256960241","373.481324854951","372.794763898142","368.789780529767","359.169245774502","346.405506924153","329.18289607856","311.800880659822","298.652308824724","292.364095007782","287.569969434609","285.781206785712","284.710126007302","279.179089481373","285.966137368868","279.558078556651","277.23034829759","273.440922731177","271.110328001727","",
"Angola","AGO","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","326.54","330.8","315.7","319.29","312.65","313.87","299.9","269.53","228.06","193.51","170.36","157.06","153.05","158.1","163.86","174.47","189.78","215.31","232.44","243.1","244.53","258.61","260.09","255.47","258.9","",
"Albania","ALB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8796814057371","27.9332812813577","25.4131532789521","23.9449728540449","21.0380280320343","21.635005575926","21.5871815664554","17.4679667165514","12.6694585680379","11.2876788347225","13.0600576301096","11.097601842728","10.8040390940074","10.7296210026254","11.4675790584576","12.9485192603675","15.0935902464959","16.1533763531491","17.4940272932426","17.8700034428803","18.3678962225038","19.2051147467927","19.5985766239585","23.478453213509","25.0768977971211","",
"United Arab Emirates","ARE","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Argentina","ARG","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.36","1.14","0.66","0.65","0.6","1.18","0.87","1.64","0.52","0.45","0.26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
